offer,title,country,location_name,postal_code,education_level,experience_level,contract_type,job_description,profile_description
9758630,Country Manager Netherlands H/F,France,Paris,75009,Bac +4,1-2 ans,CDI,"Based in Paris or in the Netherlands, you are in charge of managing and developing the Benelux region with the following missions:
-	Schedule appointments with clients and partners 
-	Meeting with high level interlocutors (HR Department, HRIS, Recruitment Manager, ATS, etc.)
-	Identification of the needs
-	Negotiations and closing
-	Project Management with ours implementation teams 
A true entrepreneur in an expanding company, you benefit from the team experience managing your business autonomously and adapted to the Benelux area.
Inspired by its success in France, Belux region and Eastern Europe, Multiposting wants to strengthen with you its world leading position in recruitment technologies.","Multiposting is looking for an entrepreneur and ingenious profile, bilingual (Dutch/ English or French/ Dutch), sharing the company's DNA: ambition and innovation spirit.
Multiposting agrees above all to offer to its employees a package that will match their talents, a training program to its products and technologies, and the support of business development team to identify potential businesses. Salesforce will be your CRM tool to easily monitor your clients/prospects and build your own reports. 
“Multiposting offers an unique experience on the soft market, for the people wishing to evolve in professional, dynamic and intellectually stimulating work environment”, specifies Gautier Machelon, Founder of Multiposting.

Join us! recrutement@multiposting"
10503181,International customer projects Leader H-F,France,paris,75009,Bac +5,6 mois - 1 an,CDI,"Real link between our sales team and our technical team, as well as between our partners and clients, you are working on varied and challenging issues. Within our team of Project Management and as part of our international expansion, you will intervene on two strategic areas for the development of our company:
1.	Definition of project management in Multiposting
You take part in the definition of project management in Multiposting structuring work processes within the company;

2.	Support from our customers
You are responsible for the deployment of our solutions with customers and make sure they are properly conducted in collaboration with the different divisions of the company;
In this context, you will have to manage the relationship with the various partners Multiposting (job sites, schools, etc. ATS)","We are seeking a bilingual profile fluent French and English, demonstrating rigor, technical curiosity and creativity. Mastery of a third language is a plus.

You know manage priorities and like to solve complex problems and finding innovative solutions.
Multiposting is for you! Join us! recrutement@multiposting.fr"
10999102,Chargé de relation clientèle H/F,France,Paris,75009,Bac +2,1-2 ans,CDI,"Au sein de notre équipe relation clients niveau 1 (front office) et en étroite collaboration avec les responsables d'équipes, vous êtes garant(e) du lien entre notre équipe commerciale et notre équipe technique, ainsi qu'entre nos clients et nos partenaires. Vous traiterez l'ensemble des contacts clients et partenaires en multi-canal (téléphone, email, réseaux sociaux, etc.) avec pour objectifs leur satisfaction et fidélisation dans le respect des indicateurs quantitatifs et qualitatifs fixés : 
*Prise en charge des demandes ou incidents émanant des clients via un système de requêtes générées par notre outil de CRM (Salesforce) ; 
*Diagnostic et mise en place des actions de support technique et commercial ; 
*Suivi de la qualité des prestations ; 
*Communication auprès du client des actions menées et de leur dead line ; 
*Clôture des requêtes ; 
*Détection de besoins potentiels et relais de ceux-ci à l'équipe sales ; 
*Remontées des évolutions des produits ou offres souhaitées par les clients et partenaires.","*Expérience de 1-2 an(s) en SRC, helpdesk ou assistance technico-commerciale ;
*Excellente expression orale et écrite ;
*Solides bases en anglais ;
*Bonne capacité d'écoute pour établir et maintenir une relation client extrêmement forte ;
*Forte appétence pour les nouvelles technologies ;
*A l'aise avec les outils bureautiques et applicatifs ;
*Capacité à vous maîtriser, prendre de la distance et supporter la charge d'un service clients ;
*Fort goût du service et culture du résultat.

Vous recherchez un job formateur dans un environnement agréable, dynamique et innovant ? Rejoignez-nous ! recrutement@multiposting.fr"
10999385,Spécialiste support niveau 2 H/F,France,paris,75009,Bac +2,1-2 ans,CDI,"Véritable lien entre nos équipes sales et devs, ainsi qu'entre nos partenaires et nos clients, vous intervenez sur des problématiques complexes et pleines de mystère que vous aurez à résoudre et à documenter pour construire notre base de connaissances. 
Au sein de l'équipe middle (niveau 2) et plongé(e) dans l'écosystème des technos RH, vous êtes responsable du suivi, de la satisfaction et de la fidélisation de nos clients (France et international) au travers de la résolution des requêtes (demandes ou incidents clients) que vous mènerez dans le respect des objectifs quantitatifs et qualitatifs qui vous seront fixés : *Analyse des besoins du client et mise en place des paramétrages nécessaires ; 
*Coordination des équipes techniques du client, des partenaires éventuels et de Multiposting ; *Se porter garant(e) de la communication et du respect des due dates et de la parfaite compréhension des actions menées par le client ; 
*Remontées des évolutions des produits ou offres souhaitées par les clients et partenaires.

Vous êtes partie prenante de la vie du département et dans ce cadre pouvez également être amené(e)s à participer aux projets suivants : 
*Formation et coaching des équipes front office (niveau 1) et sales ; 
*Participation à la réflexion sur les outils et méthodes utilisés ; 
*Génération de business en collaboration avec l'équipe sales ; 
*Gestion du déploiement de nos solutions après de nos clients.","*Bilingue anglais ;
*Curieux presque geek, familier des flux XML ;
*Top relationnel (écrit et oral) ;
*Talent pédagogique pour délivrer des informations « techniques » à des interlocuteurs qui ne le sont pas nécessairement ;
*Capacité à vous maîtriser, prendre de la distance et supporter la charge d'un service clients ;
*Fort goût du service et culture du résultat.

Vous recherchez un job formateur dans un environnement agréable, dynamique et innovant ? Rejoignez-nous ! recrutement@multiposting.fr"
11351737,Chef de Projets Clients Internationaux H/F,France,Paris,75009,Bac +5,3-4 ans,CDI,"Véritable lien entre notre équipe sales et notre équipe technique, ainsi qu'entre nos partenaires et nos clients, vous intervenez sur des problématiques variées et stimulantes. Dans le cadre de notre développement à l'international, vous prendrez en charge 2 axes stratégiques pour le développement de notre entreprise : 

1. Définition de la gestion de projet chez Multiposting 
Vous prenez part à la définition de la gestion de projet chez Multiposting en structurant les méthodes de travail au sein de l'entreprise ;

2. Accompagnement de nos clients 
Vous êtes en charge du déploiement de nos solutions auprès des clients et vous assurez leur bon déroulement en collaboration avec les différents pôles de l'entreprise ; Dans ce cadre, vous serez amené à gérer la relation avec les différents partenaires de Multiposting (sites d'emploi, écoles, ATS, etc.)","Nous recherchons un profil parlant couramment anglais, maîtrisant la gestion de projet et faisant preuve de rigueur, de curiosité technique et de créativité. Une expérience dans le web ou chez un éditeur de logiciels, ainsi que la maîtrise d'une troisième langue peuvent constituer un plus. Profils atypiques bienvenus.
Vous savez gérer les priorités et aimez résoudre les problèmes complexes en trouvant des solutions innovantes?
Multiposting est fait pour vous, rejoignez-nous!   

recrutement@multiposting.fr"
11415961,Business Developer H/F,France,Paris,75009,Bac +4,6 mois - 1 an,CDI,"Au sein de notre équipe business development « nouveaux clients », vous êtes en charge de façon autonome du développement d'un portefeuille de prospects au travers des étapes suivantes :
-	Prise de RDV ;
-	Rencontres avec des interlocuteurs de haut niveau (DRH, Responsables Recrutement, DSI, etc.) ;
-	Identification des besoins ;
-	Rédaction de propositions ;
-	Closing.","Multiposting recherche des profils tant juniors que seniors, avec une expérience pouvant aller de 6 mois à 10 ans. Seule exigence : partager l'ambition et l'esprit d'innovation de la société.

De son côté Multiposting s'engage avant tout à offrir à ses business developers un package à la hauteur de leur talent, une formation de plusieurs semaines à ses produits, technos et process innovants, et l'accompagnement quotidien de notre équipe lead generation dédiée à l'identification de potentiels clients.

Afin de valoriser la créativité et l'ambition de nos business developers talentueux, nous n'hésitons pas à les faire évoluer sur des missions orientées management, gestion de projets inter, produit, marketing, animation d'un réseau de partenaires, etc.    

Rejoignez-nous ! recrutement@multiposting.fr"
11416042,Account Manager H/F,France,paris,75009,Bac +5,3-4 ans,CDI,"Au sein de notre équipe account management, vous êtes en charge de façon autonome du suivi et du développement d'un portefeuille clients au travers des étapes suivantes :
- Prise de RDV clients ;
- Rencontres avec des interlocuteurs de haut niveau (DRH, Responsables Recrutement, DSI, etc.) ;
- Identification de nouveaux besoins ;
- Rédaction de propositions ;
- Closing ;
- Gestion des projets avec nos équipes implémentations.","Multiposting recherche des profils tant juniors que seniors, avec une expérience pouvant aller de 6 mois à 10 ans. Seule exigence : partager l'ambition et l'esprit d'innovation de la société.

De son côté Multiposting s'engage avant tout à offrir à ses business developers un package à la hauteur de leur talent, une formation de plusieurs semaines à ses produits, technos et process innovants, et l'accompagnement quotidien de notre équipe lead generation dédiée à l'identification de potentiels clients.

Afin de valoriser la créativité et l'ambition de nos business developers talentueux, nous n'hésitons pas à les faire évoluer sur des missions orientées management, gestion de projets inter, produit, marketing, animation d'un réseau de partenaires, etc.    

Rejoignez-nous ! recrutement@multiposting.fr"
11518028,Chef de Projets Clients Internationaux Trilingue,France,Paris,75009,Bac +5,1-2 ans,CDI,"Véritable lien entre notre équipe sales et notre équipe technique, ainsi qu'entre nos partenaires et nos clients, vous intervenez sur des problématiques variées et stimulantes au sein de notre équipe de Project Management et dans le cadre de notre développement à l'international: 

1.	Définition de la gestion de projet chez Multiposting
Vous prenez part à la définition de la gestion de projet chez Multiposting en structurant les méthodes de travail au sein de l'entreprise ;

2.	Accompagnement de nos clients
Vous êtes en charge du déploiement de nos solutions auprès des clients et vous assurez leur bon déroulement en collaboration avec les différents pôles de l'entreprise ;
Dans ce cadre, vous serez amené à gérer la relation avec les différents partenaires de Multiposting (sites d'emploi, écoles,  ATS etc.)","Nous recherchons un profil trilingue parlant couramment allemand et anglais, faisant preuve de rigueur, curiosité technique et créativité. Profils atypiques bienvenus 

Vous savez gérer les priorités et aimez résoudre les problèmes complexes en trouvant des solutions innovantes?
Multiposting est fait pour vous, rejoignez-nous!   

recrutement@multiposting.fr"
11520483,Développeur Backend H/F,France,Paris,75009,Bac +5,6 mois - 1 an,CDI,"Nous recrutons un développeur backend afin de soutenir la demande de nos clients toujours plus nombreux et d'étendre la capacité de Multiposting à conquérir de nouveaux pays. Vous intégrerez l'équipe Backoffice sous la responsabilité du Responsable de la Production. 

Votre rôle consiste à :
- devenir une référence technique au sein de Multiposting, par votre maitrise et votre connaissance approfondie du contexte opérationnel de la multidiffusion ;
- prendre part à l'élaboration des spécifications fonctionnelles et techniques des projets à grande échelle pour les clients de Multiposting ;
- prendre part à l'implémentation de ces projets, en développant les outils de multidiffusion actuellement existants.

Cette mission vous placera à l'intersection des domaines du développement web et du service client. Vous serez amené à la fois à rencontrer et à échanger avec les clients et les partenaires de Multiposting, et à participer au développement de produits de qualité.","- Ecole d'ingénieur, master ou niveau équivalent Bac+5 avec une spécialisation dans l'informatique ou les systèmes d'information ;
- Une expérience réussie dans un cadre professionnel, associatif ou personnel dans le domaine du développement web ;
- Maitrise des langages Python et PHP ;
- Maitrises des bases de données relationnelles (en particulier MySQL) et de MongoDB ;
- Maitrise des systèmes Unix
- La connaissance des frameworks Django et Symfony est un plus.

Poste en CDI
Disponibilité : Dès que possible 
Rémunération attractive
Rejoignez-nous : recrutement@multiposting.fr"
11706595,Chef de projet International – Stage 6 mois,France,Paris,75009,Bac +4,< 6 mois,Stage,"Au sein de notre équipe Project Management et en étroite collaboration avec le Directeur Partenariats & International, vous intervenez sur 2 axes stratégiques pour le développement de la société :
- International: vous participez à la préparation des dossiers de présentations et des argumentaires commerciaux pour un portefeuille de clients, essentiellement des grands comptes. 
-  Partenariats : vous participez au développement des partenariats à l'international. 
L'équipe Partenariats & International est au cœur de la stratégie de développement de Multiposting et vous permettra de découvrir le monde de l'entrepreneuriat dans un environnement ambitieux et stimulant.","Enfant du web branché sur Spotify vous avez envie de prendre la responsabilité de missions stratégiques et de les faire évoluer à la mesure de votre ambition et de vos talents.
Vous êtes rigoureux et possédez un bon esprit d'analyse. Vous avez la ferme volonté d'atteindre les objectifs fixés et développez un solide sens de l'organisation pour y parvenir. 
Ayant un véritable attrait pour l'international, vous êtes bilingue anglais et maîtrisez l'allemand ou le chinois. 
Vous savez gérer les priorités, même si votre To Do List comporte 293 tâches, dont 48 à faire avant demain et 17 à faire pour hier.
Vous fuyez par-dessus tout les stages ""photocopieuse"".

Rejoignez nos équipes dès janvier pour une durée de 6 mois : recrutement@multiposting.fr"
